seq,secs,vel_l,vel_r
0,-0.00012087821960449219,0.0,0.0
0,0.09561514854431152,0.0,0.0
0,0.20751714706420898,71447.796875,0.0
0,0.3036160469055176,97993.703125,0.0
0,0.3997461795806885,77161.0,0.0
0,0.49556398391723633,42681.5,0.0
0,0.6075341701507568,10795.2001953125,0.0
0,1.109102725982666,-14314.7998046875,0.0
0,0.7995469570159912,-24291.099609375,0.0
0,0.8955471515655518,-23738.19921875,0.0
0,1.0074679851531982,-15394.400390625,0.0
0,1.103559970855713,-216.8000030517578,0.0
0,1.1994521617889404,7898.10009765625,0.0
0,1.2955410480499268,12268.400390625,0.0
0,1.4075100421905518,12069.599609375,0.0
0,1.5035371780395508,9767.900390625,0.0
0,1.599478006362915,7681.2998046875,0.0
0,2.028853416442871,5136.7998046875,0.0
0,1.8074469566345215,3289.699951171875,0.0
0,1.9034950733184814,1841.300048828125,0.0
0,1.9995291233062744,742.7000122070312,0.0
0,2.0954930782318115,131.8000030517578,0.0
0,2.207414150238037,0.0,0.0
0,2.3034911155700684,0.0,0.0
0,2.3995699882507324,0.0,0.0
0,2.495483160018921,-290.79998779296875,0.0
0,2.6074249744415283,-438.70001220703125,0.0
0,3.1087427139282227,-369.8999938964844,0.0
0,2.7994279861450195,-171.8000030517578,0.0
0,2.8954479694366455,-206.89999389648438,0.0
0,3.007369041442871,-58.20000076293945,0.0
0,3.103492021560669,0.0,0.0
0,3.199424982070923,0.0,0.0
0,3.2954790592193604,0.0,0.0
0,3.40740704536438,0.0,0.0
0,3.5034241676330566,0.0,0.0
0,3.5993661880493164,0.0,0.0
0,4.028033256530762,0.0,0.0
0,3.807347059249878,0.0,0.0
0,4.030148983001709,0.0,0.0
0,4.036406993865967,0.0,0.0
