seq,secs,vel_l,vel_r
0,-0.0001430511474609375,25.645673751831055,0.0
0,0.09584999084472656,26449.705078125,0.0
0,0.20789885520935059,36750.88671875,0.0
0,0.3038320541381836,29478.513671875,0.0
0,0.3998279571533203,16775.51171875,0.0
0,0.62685227394104,4626.26611328125,0.0
0,0.6078450679779053,-5291.3359375,0.0
0,0.7039239406585693,-9080.078125,0.0
0,0.7998058795928955,-8992.677734375,0.0
0,0.8958010673522949,-5847.298828125,0.0
0,1.0078339576721191,-285.5475158691406,0.0
0,1.1038110256195068,3255.8349609375,0.0
0,1.1998019218444824,4712.009765625,0.0
0,1.2957909107208252,4660.8408203125,0.0
0,1.4078099727630615,3815.58349609375,0.0
0,1.7064316272735596,2876.58251953125,0.0
0,1.599776029586792,2027.89111328125,0.0
0,1.6957709789276123,1333.354736328125,0.0
0,1.8077900409698486,710.113525390625,0.0
0,1.9037489891052246,332.4593200683594,0.0
0,1.9997329711914062,69.21994018554688,0.0
0,2.0957250595092773,-101.03699493408203,0.0
0,2.2077548503875732,-213.6140594482422,0.0
0,2.303709030151367,-244.68490600585938,0.0
0,2.399707078933716,-238.31922912597656,0.0
0,2.6257126331329346,-208.40272521972656,0.0
0,2.6077170372009277,-159.42523193359375,0.0
0,2.7037549018859863,-113.8785400390625,0.0
0,2.799686908721924,-72.32715606689453,0.0
0,3.047602891921997,21.78305435180664,0.0
0,3.054060935974121,0.0,0.0
