seq,secs,vel_l,vel_r
0,0.9313511848449707,0.0,0.0
0,0.09554100036621094,0.0,0.0
0,0.2075331211090088,75900.1015625,0.0
0,0.30347609519958496,174418.59375,0.0
0,0.39949798583984375,270959.5,0.0
0,0.4954221248626709,238385.0,0.0
0,0.6074831485748291,122009.3984375,0.0
0,0.7034831047058105,23812.099609375,0.0
0,0.7994871139526367,-72310.5,0.0
0,0.8954501152038574,-92924.6015625,0.0
0,1.1606249809265137,-58746.80078125,0.0
0,1.1034340858459473,-307.6000061035156,0.0
0,1.199479103088379,33712.30078125,0.0
0,1.2954339981079102,48173.19921875,0.0
0,1.4074552059173584,47013.1015625,0.0
0,1.5034430027008057,38343.80078125,0.0
0,1.59946608543396,28355.69921875,0.0
0,1.6954610347747803,20118.5,0.0
0,1.8076050281524658,12694.0,0.0
0,1.903374195098877,6726.60009765625,0.0
0,2.8901524543762207,3118.300048828125,0.0
0,2.095367193222046,486.0,0.0
0,2.207423210144043,-46.099998474121094,0.0
0,2.3033640384674072,-1912.4000244140625,0.0
0,2.399435043334961,-2271.199951171875,0.0
0,2.495317220687866,-2252.199951171875,0.0
0,2.6074180603027344,-2121.800048828125,0.0
0,2.7033450603485107,-1541.699951171875,0.0
0,2.7993860244750977,-1089.5,0.0
0,2.8953092098236084,-640.5,0.0
0,3.1598763465881348,-330.0,0.0
0,3.1033401489257812,0.0,0.0
0,3.1994071006774902,0.0,0.0
0,3.2953741550445557,0.0,0.0
0,3.407379150390625,0.0,0.0
0,3.503298044204712,0.0,0.0
0,3.5993831157684326,0.0,0.0
0,3.6953070163726807,0.0,0.0
0,3.8073530197143555,0.0,0.0
0,3.9033281803131104,0.0,0.0
0,4.885264873504639,0.0,0.0
0,4.095309019088745,0.0,0.0
0,4.207343101501465,0.0,0.0
0,4.303274154663086,0.0,0.0
